start_station_name,end_station_name,number_of_trips
Ellis Ave & 60th St,University Ave & 57th St,5848
University Ave & 57th St,Ellis Ave & 60th St,5544
Ellis Ave & 60th St,Ellis Ave & 55th St,5278
Ellis Ave & 55th St,Ellis Ave & 60th St,4745
State St & 33rd St,Calumet Ave & 33rd St,3268
Calumet Ave & 33rd St,State St & 33rd St,3215
Loomis St & Lexington St,Morgan St & Polk St,2891
Morgan St & Polk St,Loomis St & Lexington St,2876
University Ave & 57th St,Kimbark Ave & 53rd St,2267
Loomis St & Lexington St,Halsted St & Polk St,2091
Kimbark Ave & 53rd St,University Ave & 57th St,2059
Ellis Ave & 60th St,Ellis Ave & 58th St,1942
Ellis Ave & 55th St,Kimbark Ave & 53rd St,1816
Ellis Ave & 58th St,Ellis Ave & 60th St,1796
Halsted St & Polk St,Loomis St & Lexington St,1763
Kimbark Ave & 53rd St,Ellis Ave & 55th St,1540
State St & 33rd St,MLK Jr Dr & 29th St,1504
MLK Jr Dr & 29th St,State St & 33rd St,1503
University Ave & 57th St,Lake Park Ave & 56th St,1500
University Ave & 57th St,Ellis Ave & 55th St,1478
